ExperimentName,Subject,Session,Age,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,Handedness,RandomSeed,RuntimeVersion,RuntimeVersionExpected,Schooling,SessionDate,SessionStartDateTimeUtc,SessionTime,Sex,StudioVersion,Block,Procedure[Block],Running[Block],SubjectLists,SubjectLists.Cycle,SubjectLists.Sample,Trial,BlockList1,BlockList1.Cycle,BlockList1.Sample,CorrectAnswer,Cue,Item,Prime,PrimeCondition,Procedure[Trial],questionmark,RecallResponse.ACC,RecallResponse.CRESP,RecallResponse.DurationError,RecallResponse.OnsetDelay,RecallResponse.OnsetTime,RecallResponse.OnsetToOnsetTime,RecallResponse.RESP,RTImmediate,RecallResponse.RTTime,Running[Trial],TrialList1,TrialList1.Cycle,TrialList1.Sample,ImmediateAccuracy,PrimeIntrusionImmediate,DelayedAccuracy,PrimeIntrusionDelayed,RTDelayed
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,96,,,,above ,PLANE,above ,above ,Identical,TrialProc,???????,0,,-999999,26,790344,0,fly{ENTER},654,790998,TrialList1,1,1,36,0,0,0,0,994
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,67,,,,alive ,BEAR,alive ,alive ,Identical,TrialProc,???????,0,,-999999,25,370306,0,ear{ENTER},566,370872,TrialList1,2,1,7,0,0,0,0,2457
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,100,,,,angel ,SKY,angel ,angel ,Identical,TrialProc,???????,0,,-999999,37,852825,0,angel{ENTER},2796,855621,TrialList1,3,1,40,1,1,1,1,641
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,89,,,,anger ,PRISON,anger ,anger ,Identical,TrialProc,???????,0,,-999999,25,669631,0,anger{ENTER},4490,674121,TrialList1,4,1,29,1,1,1,1,1135
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,68,,,,animal,PET,animal,animal,Identical,TrialProc,???????,0,,-999999,67,383077,0,animal{ENTER},1344,384421,TrialList1,5,1,8,1,1,1,1,2661
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,94,,,,baby  ,GRASP,baby  ,baby  ,Identical,TrialProc,???????,0,,-999999,37,746091,0,test{ENTER},14256,760347,TrialList1,6,1,34,0,0,0,0,777
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,76,,,,bee   ,FLY,bee   ,bee   ,Identical,TrialProc,???????,0,,-999999,37,489228,0,bird{ENTER},2284,491512,TrialList1,7,1,16,0,0,0,0,1208
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,65,,,,best,CLOTH,best,best,Identical,TrialProc,???????,0,,-999999,37,343528,0,soft{ENTER},1951,345479,TrialList1,8,1,5,0,0,0,0,1333
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,61,,,,bird  ,SPIDER,bird  ,bird  ,Identical,TrialProc,???????,0,,-999999,96,289266,0,bird{ENTER},2103,291369,TrialList1,9,1,1,1,1,1,1,720
ImmediateRecall32ms,1,1,20,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3579545</Frequency><Timestamp dt:dt=""r8"">6696396186</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-13T16:02:00Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall32ms-1-1,84.922,1.0.0.95,1,right,-1890870486,2.0.10.242,2.0.10.242,Junior,10/13/2017,10/13/2017 16:02,11:02:01,female,2.0.10.147,1,S1,SubjectLists,1,2,1,120,,,,board ,WRITE,board ,board ,Identical,TrialProc,???????,0,,-999999,26,1150420,0,pape{ENTER},1877,1152297,TrialList1,10,1,60,0,0,0,0,584
