ExperimentName,Subject,Session,Age,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,Handedness,RandomSeed,RuntimeVersion,RuntimeVersionExpected,Schooling,SessionDate,SessionStartDateTimeUtc,SessionTime,Sex,StudioVersion,Block,Procedure[Block],Running[Block],SubjectLists,SubjectLists.Cycle,SubjectLists.Sample,Trial,BlockList1,BlockList1.Cycle,BlockList1.Sample,CorrectAnswer,Cue,Item,Prime,PrimeCondition,Procedure[Trial],questionmark,RecallResponse.ACC,RecallResponse.CRESP,RecallResponse.DurationError,RecallResponse.OnsetDelay,RecallResponse.OnsetTime,RecallResponse.OnsetToOnsetTime,RecallResponse.RESP,RTImmediate,RecallResponse.RTTime,Running[Trial],TrialList1,TrialList1.Cycle,TrialList1.Sample,ImmediateAccuracy,PrimeIntrusionImmediate,DelayedAccuracy,PrimeIntrusionDelay,RTDelayed
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,90,,,,above ,PLANE,above ,above ,Identical,TrialProc,???????,0,,-999999,7,1076210,0,above{ENTER},2199,1078409,TrialList1,1,1,30,1,1,1,1,2204
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,114,,,,alive ,BEAR,alive ,alive ,Identical,TrialProc,???????,0,,-999999,7,1440019,0,alive{ENTER},1716,1441735,TrialList1,2,1,54,1,1,1,1,1459
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,113,,,,angel ,SKY,angel ,angel ,Identical,TrialProc,???????,0,,-999999,7,1426144,0,angel{ENTER},1781,1427925,TrialList1,3,1,53,1,1,0,0,1389
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,78,,,,anger ,PRISON,anger ,anger ,Identical,TrialProc,???????,0,,-999999,7,880339,0,anger{ENTER},1851,882190,TrialList1,4,1,18,1,1,1,1,1619
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,104,,,,animal,PET,animal,animal,Identical,TrialProc,???????,0,,-999999,6,1285254,0,animal{ENTER},1985,1287239,TrialList1,5,1,44,1,1,1,1,2560
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,93,,,,baby  ,GRASP,baby  ,baby  ,Identical,TrialProc,???????,0,,-999999,7,1119089,0,baby{ENTER},1751,1120840,TrialList1,6,1,33,1,1,1,1,1444
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,103,,,,bee   ,FLY,bee   ,bee   ,Identical,TrialProc,???????,0,,-999999,6,1272031,0,bee{ENTER},1128,1273159,TrialList1,7,1,43,1,1,0,0,2239
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,87,,,,best,CLOTH,best,best,Identical,TrialProc,???????,0,,-999999,7,1025307,0,shoe{ENTER},3998,1029305,TrialList1,8,1,27,0,0,0,0,9273
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,92,,,,bird  ,SPIDER,bird  ,bird  ,Identical,TrialProc,???????,0,,-999999,7,1104395,0,bird{ENTER},2606,1107001,TrialList1,9,1,32,1,1,1,1,1876
ImmediateRecall48ms,1,1,31,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2793030000</Frequency><Timestamp dt:dt=""r8"">2.63409300846783E+16</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2017-10-02T18:18:24Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ImmediateRecall48ms-1-1,59.82,1.0.0.91,1,right,-1050252417,2.0.10.242,2.0.10.242,Freshman,10/2/2017,10/2/2017 18:18,13:18:24,female,2.0.10.147,1,S1,SubjectLists,1,2,1,109,,,,board ,WRITE,board ,board ,Identical,TrialProc,???????,0,,-999999,7,1361751,0,board{ENTER},1777,1363528,TrialList1,10,1,49,1,1,1,1,2059
